index,message,label
30702,no rush,0.0
18607,whatever ... watch the replay,0.0
32901,useless,1.0
25964,3 gunmark,0.0
28643,lol,0.0
4313,i softened him lol,0.0
8765,come,0.0
52567,stupid kids grow up,1.0
24437,fking light diference,0.0
41928,"hori, info ?",0.0
41604,gooo,0.0
36430,#ERROR!,0.0
34262,shut the fuck up please,1.0
44313,srorry disvconect,0.0
1843,speak english,0.0
37959,now die,0.0
26004,i stack,0.0
46322,y and fail more noobie,1.0
26237,bot,1.0
7420,elc go now,0.0
34590,caernvon idiot,1.0
39533,I‘ve been spotted in A10!,0.0
44210,its in the line,0.0
13087,ще злийте ))),1.0
12034,retard,1.0
22760,&lt;#,0.0
5838,Im Spotted at E5!,0.0
31917,"перший бій, сток",0.0
1229,should i cap,0.0
31854,ok,0.0
27291,spotted,0.0
6276,team ...,0.0
42945,i will take one shot,0.0
51483,i tried man,0.0
49120,u needed to kill cent,0.0
11307,too late,0.0
46709,HIDE IN BUSH,0.0
35746,They are all here,0.0
3180,Im Spotted at G2!,0.0
15061,7.7k already,0.0
5584,this game is so fun when u got 2 chiefs shoting gold,0.0
40395,ФОКУСЯТ,0.0
54412,елка спасибо тебе ...,0.0
24891,aiming,0.0
41159,PTA!!!,0.0
37652,I am spotted at F5!,0.0
2212,o7,0.0
5457,уроди!,0.0
5948,appres la bataille,0.0
3904,are you all bot???,1.0
37884,base def darling,0.0
32024,Im Spotted at H6!,0.0
6326,ty,0.0
18617,ff amx,1.0
41239,I am spotted at E4!,0.0
36328,gj light,0.0
12002,move,0.0
24279,прога ау,0.0
5257,DO NOT UPUSH souuth,0.0
44014,ns,0.0
13616,i give up. to many jokes in this battle. bye,0.0
34998,o outro está dandovolta,0.0
14535,goo to swim,0.0
33223,fuck you putin ho ri,3.0
25289,yes,0.0
21917,M 41 YOU MOM BORNE YOU ON A S S IDI OT,1.0
21679,cap!,0.0
20045,131 from the twitch drop thingty?,0.0
6378,wtf,2.0
1732,красава!&quot;,0.0
34711,some shots would be appreciated,0.0
33054,#ERROR!,0.0
34428,Awww... show me on the tank where the bad arty touched you...,1.0
43004,arta focus bz 176,0.0
8844,"problem, i have very bad view and camo",0.0
40966,Im Spotted at E5!,0.0
32345,all my helath went to artys,0.0
8381,replay saved,0.0
40797,Dont jump :D,0.0
43404,hes playing for draw really?,2.0
51996,wz get eyes on cap,0.0
12998,Калабаново давай,0.0
35125,96...,0.0
11804,ja zaraz wracam kilka minut,0.0
12709,send it man,0.0
14675,team,0.0
51587,Spotted at H1,0.0
38541,"7,4k spot gg guys",0.0
50853,skorpion?,0.0
48762,2K ty,0.0
46573,spotted,0.0
54587,I've been spotted in J6!,0.0
22185,skodea progeto campers come to help,1.0
1740,idiots,0.0
51521,holy shit,0.0
47260,report lynx,0.0
45274,"low, 1 shot",0.0
50659,eat shit,2.0
31119,признайся при всех),0.0
47328,6200 visible and I got some blind,0.0
25007,paly defensive let artillery help,0.0
29902,game over,0.0
30993,i think,0.0
4040,capiturem a base,0.0
25426,moment i relaud and go,0.0
28345,gg,0.0
40810,good job brNon-Toxic,0.0
21658,:(,0.0
35141,we on the lemming team,0.0
6989,holy crap its almost like playing the wrong side of the map was stupid,2.0
52145,arta run,0.0
48138,RICO GO,0.0
52510,Im Spotted at E3!,0.0
36923,cover me amx ac,0.0
33404,dmg shell,1.0
11426,"yeah, Leo i dead",0.0
30298,how about some scouting lites?,0.0
44127,gg,0.0
47392,Засвет в квадрате E3!!!,0.0
28880,impotento,1.0
44641,"arty, shoot the fucking is3 and kr",0.0
40623,yea,0.0
6917,why,0.0
48755,What are the chances of the LT sitting in the usual bush?,0.0
52434,get some distance,0.0
16839,SPOT PLS,0.0
23240,gg,0.0
33233,m103 help the 122 you incest faggot,3.0
29233,You know where they are,0.0
6889,camping heavies i swear,1.0
9798,gg,0.0
37725,be careful,0.0
42428,can we have snipers,0.0
20527,manta go spot,0.0
